"NAME","type","zone","protection_level","threat_status","condition","efz_ha"
"uMakhosi","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",19
"uMnamfu","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",18.1
"uMthwalume","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",185.6
"uMvuzi","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",36.7
"iFafa","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Heavily modified",111.2
"uMdesingane","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Heavily modified",25
"iSezela","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",72.7
"uMkhumbane","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",24.8
"iNkomba","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",1.1
"uMuziwezinto","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",105.3
"uMzimayi","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",26.6
"Rocky Bay","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Heavily modified",5.9
"uMphambanyoni","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",84.4
"aMahlongwa","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",98.1
"uMahlongwane","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",40.7
"uMkhomazi","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Moderately modified",331.9
"iNgane","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Heavily modified",34.6
"uMgababa","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",138
"uMsimbazi","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",193.7
"iLovu","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Heavily modified",425.4
"aManzanamtoti","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Severely / critically modified ",55.2
"aManzimtoti","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Severely / critically modified ",50.3
"iZimbokodo","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Severely / critically modified ",89.4
"iSiphingo","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Severely / critically modified ",704.4
"Durban Bay","Subtropical Estuarine Bay","Subtropical","Not Protected","Critically Endangered","Severely / critically modified ",2815.2
"uMngeni","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Severely / critically modified ",403.5
"uMhlanga","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Severely / critically modified ",150.8
"uMdloti","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Heavily modified",189.5
"uThongathi","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Severely / critically modified ",145.6
"uMhlali","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Heavily modified",200.9
"Bob’s Stream","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Heavily modified",8.9
"uSetheni","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",10.2
"uMvoti","Subtropical Large Fluvially Dominated","Subtropical","Poorly Protected","Endangered","Heavily modified",288.7
"uMdlotane","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",79.9
"iNonoti","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",153.8
"iZinkwazi","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",300.1
"uThukela","Subtropical Large Fluvially Dominated","Subtropical","Poorly Protected","Endangered","Heavily modified",1261
"aMatigulu/iNyoni","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Moderately modified",1183.1
"iSiyaya","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Severely / critically modified ",88.4
"uMlalazi","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Moderately modified",1851.7
"uMhlathuze","Subtropical Estuarine Lake","Subtropical","Moderately Protected","Endangered","Heavily modified",5642.3
"Richards Bay","Subtropical Estuarine Lake","Subtropical","Moderately Protected","Endangered","Severely / critically modified ",6365.1
"iNhlabane","Subtropical Estuarine Lake","Subtropical","Moderately Protected","Endangered","Severely / critically modified ",1875.7
"iMfolozi/uMsunduze","Subtropical Large Fluvially Dominated","Subtropical","Poorly Protected","Endangered","Heavily modified",7903.7
"St Lucia","Subtropical Estuarine Lake","Subtropical","Moderately Protected","Endangered","Heavily modified",67992.2
"uMgobezeleni","Tropical Estuarine Lake","Tropical","Moderately Protected","Vulnerable","Near-natural",829.3
"Kosi","Tropical Estuarine Lake","Tropical","Moderately Protected","Vulnerable","Near-natural",7337
